2026-03-24 17:12:12 | alice | LOGIN_SUCCESS | 
2026-03-24 17:12:14 | alice | BALANCE_CHECK | Balance = 1200.0
2026-03-24 17:12:22 | alice | DEPOSIT_SUCCESS | Deposited 200.0, New balance = 1400.0
2026-03-24 17:12:30 | alice | WITHDRAW_SUCCESS | Withdrew 200.0, New balance = 1200.0
2026-03-24 17:12:40 | alice | TRANSFER_SUCCESS | Transferred 200.0 to bob, New balance = 1000.0
2026-03-24 17:12:50 | alice | SESSION_ENDED | Client chose to exit
2026-03-24 17:14:22 | bob | LOGIN_SUCCESS | 
2026-03-24 17:14:24 | bob | BALANCE_CHECK | Balance = 700.0
2026-03-24 17:14:52 | bob | TRANSFER_SUCCESS | Transferred 200.0 to alice, New balance = 500.0
2026-03-24 17:14:54 | bob | SESSION_ENDED | Client chose to exit
2026-03-24 17:15:51 | alice | LOGIN_SUCCESS | 
2026-03-24 17:15:58 | alice | BALANCE_CHECK | Balance = 1200.0
2026-03-24 17:16:06 | alice | TRANSFER_SUCCESS | Transferred 300.0 to bob, New balance = 900.0
2026-03-24 17:16:13 | alice | SESSION_ENDED | Client chose to exit
2026-03-24 17:16:18 | bob | LOGIN_SUCCESS | 
2026-03-24 17:16:20 | bob | BALANCE_CHECK | Balance = 800.0
2026-03-24 17:42:07 | bob | SESSION_ENDED | Client chose to exit
2026-03-24 17:46:13 | alice | LOGIN_SUCCESS | 
2026-03-24 17:46:43 | alice | DEPOSIT_SUCCESS | Deposited 100.0, New balance = 1100.0
2026-03-24 17:48:04 | alice | SESSION_ENDED | Client chose to exit
2026-03-24 17:48:04 | UNKNOWN | SERVER_ERROR | [WinError 10054] An existing connection was forcibly closed by the remote host
7nCLJwGBbviUpFG8vgC/eK3BYn0eCddWWcdPYOfSIKGE7XPeoCpni9d6JNAOVrzFVdlzfUdWd4ZXPGmsjyP0WA==
